Unnamed: 0,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard,exp_name,dataset,tool,result_name,Unnamed: 0.2,Unnamed: 0.1,grn_collectri_f1,method
41,f6844dc4c684,STMN1,GTF3A;JAZF1;ING4;GTF2F1;MEF2C;TBPL1;CTBP1;HLF;CREB3;HMGA1;MESP1;TERF2;ZSCAN18;ZNF32,14,0.0,exp03_amygdala-coregtor-r1,0.44322,0.4359,0.44597,4.00657,3.4209,2.76589,0.41293,1.24547,0.37217,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
42,7dbbcd1415ae,SUMO1,GTF3A;HLF;JAZF1;THAP11;CREBL2;MLX;TBPL1;GTF2F1;TERF2;HEY1;UBP1;ZNF32;FOXG1,13,0.0,exp03_amygdala-coregtor-r1,0.44017,0.40171,0.44017,2.50201,2.21757,1.70948,0.53421,1.43857,0.49793,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
43,3673b8fba357,TAGLN,SND1;SFPQ,2,0.1814,exp03_amygdala-coregtor-r1,1.0,0.5,1.0,68.1052,14.92907,101.12542,0.42716,1.14273,0.37335,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
44,5e5f17bafe81,TIMP1,STAT3;ARID5A;TFE3;IRF3;PPARD;CEBPB;BCL6;LMO2;XBP1;RELA;HMGA1;NFIL3;HSF1;HES5;SF1;JUND;STAT1;CTNNB1;NCOR2;NFIC;NR1H2;IRF9,22,0.3236,exp03_amygdala-coregtor-r1,0.56277,0.6241,0.58225,10.80124,28.90962,11.36043,0.52649,1.93926,0.40705,0.22727,0.13158,0.09091,exp03,amygdala,coregtor,r1,,,,
45,f16eef7132e0,TIMP3,PIR;ABL1,2,0.4715,exp03_amygdala-coregtor-r1,0.5,0.5,0.5,2.67981,11.19282,2.52192,0.21094,0.65833,0.21144,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
46,2c3400aac803,TKT,ESRRA;BCL6;HES5;HSF1;PIR;RFX4;TFE3;OLIG1;TRIM28;ENO1;OLIG2;SND1;NR1D1;APEX1;MLX;NFIC;PHF1;NR1H2;IRF3;EPAS1;TFCP2;SSRP1;ETV5;NFE2L2;NONO;THAP11;GTF2F1;RXRA;USF1;STAT3;E4F1;EWSR1;MAFG;RELA;NCOA1;HDAC3;FOXJ3;BHLHE40;NFE2L1,39,0.212,exp03_amygdala-coregtor-r1,0.51822,0.52542,0.52688,9.28012,11.64191,8.60304,0.51254,1.63007,0.43979,0.02564,0.03571,0.01515,exp03,amygdala,coregtor,r1,,,,
47,87097c213b19,TXN,JAZF1;THAP11;CREB3;GTF3A;ZNF32;DRAP1;MESP1;ING4;TBPL1;HEY1;THAP12;MLX;HLF;THRA;ATF2;CREBL2,16,0.3663,exp03_amygdala-coregtor-r1,0.42083,0.42083,0.42153,1.93187,2.7688,1.11867,0.48293,1.36475,0.44847,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
48,9c012a3ca436,VEGFA,ARID5A;ATF5,2,0.2673,exp03_amygdala-coregtor-r1,0.5,0.33333,0.5,0.83851,0.0,0.86532,0.53855,1.58604,0.47532,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
49,de2fa2ec1b3a,VIM,ENO1;STAT3;HIF1A;IRF3;HMGB2;ZSCAN18;ATF5;SOX9;ZHX2;E4F1;ZBED1;KLF9;BCLAF1;CEBPD;EPAS1;HSF1;HIF3A;NFE2L2;CEBPG;CBFB;DDIT3;STAT1;NONO;RFX4;MXD4;IRF9;RELA;LMO2;BCL6;RXRA;TFE3;ATF3,32,0.1646,exp03_amygdala-coregtor-r1,0.51142,0.54133,0.51411,8.37693,19.09977,6.68573,0.55409,1.81257,0.46589,0.09375,0.06,0.03797,exp03,amygdala,coregtor,r1,,,,
0,530af21243f6,ACTA2,HIF3A;GATA5,2,0.2402,exp03_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.60853,1.7919,0.5376,0.0,0.0,0.0,exp03,bladder,coregtor,r1,,,,
1,962a50fbf4c9,ACTB,SRF;YBX1;IRF3;MLXIP;AHR;KLF5;ELF3;PLAGL1;ETS1;GATA2;FOXQ1;EHF;HES1;SND1;GATA6;ID2;SMAD7;RARG;CREB3;ZEB1;ID1;NFIC,22,0.234,exp03_bladder-coregtor-r1,0.49567,0.52381,0.50289,6.7611,11.93582,6.53849,0.54489,1.76259,0.46098,0.09091,0.09524,0.04878,exp03,bladder,coregtor,r1,,,,
2,6b61eabfa877,AKT1,LRRFIP1;YBX1;FOXO4;TFE3;NR1H2;MAFG;DRAP1;NFYB;TEAD2;GTF3A;HSF1;MAZ;TRIM28;NCOR2;MLXIP;NFE2L1;CREB3;SRF;SND1;UBP1;PLAGL1;NFIC;RELA,23,0.2452,exp03_bladder-coregtor-r1,0.50132,0.50659,0.51713,8.02618,5.89703,7.78772,0.51953,1.58005,0.45606,0.13043,0.04167,0.03261,exp03,bladder,coregtor,r1,,,,
