cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
e8133eda0ac6,SKINT1L,UBXN1;ZNF33A,2,0.2829,exp01_luad-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,1.02113,0.16892,0.56748,0.18544,,,,
a8c9953c1713,SKIV2L,ZBTB12;ARFGAP1;FBXL19;ZNF212;ZNF76;ILF3;NOC2L;ATF6B;ZNF692;ZNF316;ZNF335;DAZAP1;TCF3;E4F1;ZNF598,15,0.4351,exp01_luad-coregtor-r1,0.46349,0.43571,0.4746,5.15962,1.62886,4.92008,0.49701,1.31056,0.45952,,,,
3196eb0bc170,SKP1,UBB;ZMAT2;KDM4B;EWSR1;ZNF32;TAF7;DGCR8;EP300;BPTF;KMT2A;RIOK2;DIDO1;RREB1;ZNF142;KDM2A;DNMT1;MLXIP,17,0.2414,exp01_luad-coregtor-r1,0.50245,0.53125,0.5,19.64444,20.47313,13.35104,0.40767,1.15084,0.37964,,,,
2cf2beaf0373,SKP2,MELK;EZH2;BRCA1;ZNF131;ZNF286A;ZNF695;RFC3;ZNF367;TET1,9,0.4115,exp01_luad-coregtor-r1,0.40278,0.5162,0.50926,5.26112,29.85341,10.10352,0.43915,1.27374,0.39713,,,,
76fbbe1f98c6,SLA,IKZF1;TFEC,2,0.6875,exp01_luad-coregtor-r1,0.5,0.5,0.5,0.99729,4.72033,1.7793,0.67747,1.7512,0.61945,,,,
aac906abd884,SLA2,TBX21;ZNF683;EOMES;GFI1;SP140;ZNF831,6,0.0,exp01_luad-coregtor-r1,0.31111,0.63333,0.32222,0.0,28.89061,0.0,0.51814,1.46856,0.48229,,,,
f1915a9bd3b5,SLAIN1,PKM;HLF;ZBTB18;ZNF620;RARG,5,0.2893,exp01_luad-coregtor-r1,0.41667,0.40833,0.4,0.8363,0.70095,0.9265,0.58162,1.48398,0.5343,,,,
34a3fec90e06,SLAIN2,CLOCK;LRRFIP1;KLF3;SMARCA5;PDS5A;OTUD4;MAPK1;UBE2K;AFF4;RAB14;TMEM33;METTL14;PURA;MEF2A;REST;CREB1,16,0.1591,exp01_luad-coregtor-r1,0.5125,0.50972,0.52778,11.8654,7.11481,9.5342,0.35291,1.19509,0.30068,,,,
6a1db45fea2d,SLAMF1,ZNF831;SP140;IRF4;GFI1,4,0.0,exp01_luad-coregtor-r1,0.36111,0.63889,0.36111,0.38075,8.7058,0.17297,0.49839,1.26538,0.49039,,,,
c0ae31a78251,SLAMF6,ZNF831;SP140;EOMES,3,0.0,exp01_luad-coregtor-r1,0.30556,0.5,0.33333,0.0,1.83802,0.0,0.40028,0.90255,0.43721,,,,
