plot_tool,index,target,sources,method,value
CoRegNet,shortest_PPI_path_score_hippie,MAT2A,BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.49825
CoRegNet,shortest_PPI_path_score_hippie,NDRG1,NCALD;OLIG1;TSC22D4,exp02-coregnet,0.38889
CoRegNet,shortest_PPI_path_score_hippie,SPARC,GOT1;NCALD;OLIG1;TSC22D4,exp02-coregnet,0.44444
CoRegNet,shortest_PPI_path_score_hippie,STMN1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.49127
CoRegNet,shortest_PPI_path_score_hippie,VIM,GOT1;NCALD;TSC22D4,exp02-coregnet,0.44444
CoRegTor,shortest_PPI_path_score_stringdb,ACTB,NUCB1;CSNK2B;RAB7A;YWHAE;EWSR1,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_stringdb,APP,GOT1;TPPP;YWHAZ;MAPK1;NFE2L1,exp02_cortex-ba9-coregtor-n_five,0.51667
CoRegTor,shortest_PPI_path_score_stringdb,DUSP1,HNRNPA1;ENO1,exp02_cortex-ba9-coregtor-n_five,1.0
CoRegTor,shortest_PPI_path_score_stringdb,FASN,SREBF2;AGAP2,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_stringdb,HSP90AA1,UBB;NUCB1;HSPA5;ATF4;RAN,exp02_cortex-ba9-coregtor-n_five,0.6
CoRegTor,shortest_PPI_path_score_stringdb,MAT2A,ATF4;HNRNPA1,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_stringdb,NDRG1,OLIG1;FEZ1;HNRNPA1;TSC22D4;RPS4X,exp02_cortex-ba9-coregtor-n_five,0.46667
CoRegTor,shortest_PPI_path_score_stringdb,SPARC,HNRNPA1;SNRNP70;TSC22D4;UBXN1;FEZ1;CSNK2B;HSPA5;EWSR1,exp02_cortex-ba9-coregtor-n_five,0.56548
CoRegTor,shortest_PPI_path_score_stringdb,STMN1,GOT1;YWHAZ;TCEAL2;NCALD;SOD1;PRDX5;TCEAL6,exp02_cortex-ba9-coregtor-n_five,0.43651
CoRegTor,shortest_PPI_path_score_stringdb,VIM,ATF4;CSNK2B;EWSR1;ENO1;RAB7A,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegNet,shortest_PPI_path_score_stringdb,ACTB,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.46429
CoRegNet,shortest_PPI_path_score_stringdb,APP,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.46228
CoRegNet,shortest_PPI_path_score_stringdb,DUSP1,GOT1;NCALD,exp02-coregnet,0.33333
CoRegNet,shortest_PPI_path_score_stringdb,FASN,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.46429
CoRegNet,shortest_PPI_path_score_stringdb,HSP90AA1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.46429
CoRegNet,shortest_PPI_path_score_stringdb,MAT2A,BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.47193
CoRegNet,shortest_PPI_path_score_stringdb,NDRG1,NCALD;OLIG1;TSC22D4,exp02-coregnet,0.38889
CoRegNet,shortest_PPI_path_score_stringdb,SPARC,GOT1;NCALD;OLIG1;TSC22D4,exp02-coregnet,0.38889
CoRegNet,shortest_PPI_path_score_stringdb,STMN1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.46429
CoRegNet,shortest_PPI_path_score_stringdb,VIM,GOT1;NCALD;TSC22D4,exp02-coregnet,0.33333
CoRegTor,shortest_PPI_path_score_biogrid,ACTB,NUCB1;CSNK2B;RAB7A;YWHAE;EWSR1,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_biogrid,APP,GOT1;TPPP;YWHAZ;MAPK1;NFE2L1,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_biogrid,DUSP1,HNRNPA1;ENO1,exp02_cortex-ba9-coregtor-n_five,1.0
CoRegTor,shortest_PPI_path_score_biogrid,FASN,SREBF2;AGAP2,exp02_cortex-ba9-coregtor-n_five,0.33333
CoRegTor,shortest_PPI_path_score_biogrid,HSP90AA1,UBB;NUCB1;HSPA5;ATF4;RAN,exp02_cortex-ba9-coregtor-n_five,0.6
CoRegTor,shortest_PPI_path_score_biogrid,MAT2A,ATF4;HNRNPA1,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_biogrid,NDRG1,OLIG1;FEZ1;HNRNPA1;TSC22D4;RPS4X,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_biogrid,SPARC,HNRNPA1;SNRNP70;TSC22D4;UBXN1;FEZ1;CSNK2B;HSPA5;EWSR1,exp02_cortex-ba9-coregtor-n_five,0.65476
CoRegTor,shortest_PPI_path_score_biogrid,STMN1,GOT1;YWHAZ;TCEAL2;NCALD;SOD1;PRDX5;TCEAL6,exp02_cortex-ba9-coregtor-n_five,0.40476
CoRegTor,shortest_PPI_path_score_biogrid,VIM,ATF4;CSNK2B;EWSR1;ENO1;RAB7A,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegNet,shortest_PPI_path_score_biogrid,ACTB,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.47619
