cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
6c1772f26221,C6orf47,ZBTB10;ZBTB42;ZBTB45;CHAMP1;ZDHHC5;EXO5;MIEF1,7,70.0,0.5491,exp04_lung_reads-coregtor-default,0.4127,0.32143,0.42857,1.38028,0.0,1.41855,0.3633,0.88887,0.36074,,,,
40e9de8546ae,C6orf62,ZNF468;ZBTB6;ZNF101;ZNF813;MTERF1;ZNF557;MIEF1;AGGF1,8,57.1429,0.2022,exp04_lung_reads-coregtor-default,0.3869,0.35714,0.39286,0.70154,0.47663,0.93917,0.5173,1.21357,0.49408,,,,
d581171e9300,C6orf89,ZNF287;AGGF1;CCDC25;ZXDC;ZBTB45;ZNF16;ASH2L;ZNF777;PATZ1;ZSCAN25;PAXIP1;ZNF174;ZNF311,13,72.2222,0.2698,exp04_lung_reads-coregtor-default,0.44124,0.36538,0.43697,3.66585,1.97787,3.03182,0.54143,1.34334,0.5117,,,,
8da47e0c8135,C7,HOXC6;OSR2;HOXC4;PBX1;FREM1;BNC2;WT1;EBF1;ZNF521;HOXC5;NFIA;SETBP1;NFYB;HOXD8;FOXO3;HOXA6;MAF,17,77.2727,0.2466,exp04_lung_reads-coregtor-default,0.4185,0.54902,0.43199,1.32252,10.06399,1.56334,0.55316,1.54113,0.53437,,,,
381e7b658a00,C7orf50,NMRAL1;ASPSCR1;RFXANK;AKR1A1;SPAG7;GRHPR;ZNF524;GLYCTK;STUB1;ZNF784;ZNF205,11,64.7059,0.3135,exp04_lung_reads-coregtor-default,0.46667,0.39091,0.46667,1.68336,1.51432,2.03741,0.38895,0.86511,0.39156,,,,
153fddfe3138,C8orf33,MIEF1;POLE3;TSN;CCDC25;NCBP2;SSRP1;PRDM4;CENPB;ZNF689,9,64.2857,0.2533,exp04_lung_reads-coregtor-default,0.44907,0.46759,0.50926,3.63068,4.98526,4.56953,0.41865,1.10357,0.38171,,,,
830888bd56af,C8orf76,ZNF92;ZNF354A;HINFP;TBPL1;ZNF264;ZNF230;ZNF785;MYPOP;ZNF419;ZNF253;ZNF383,11,35.4839,0.1128,exp04_lung_reads-coregtor-default,0.43182,0.42576,0.47576,2.2376,1.33053,3.35314,0.7635,1.73126,0.74822,,,,
ff774ff388af,C8orf76,ZNF567;ZNF607,2,6.4516,0.0945,exp04_lung_reads-coregtor-default,0.5,0.5,0.5,2.35378,2.36621,4.66811,0.97645,2.12209,0.95127,,,,
421a2e0721a0,C8orf82,ZNF524;ZNF784;ZBTB45;HIRIP3;ZNF414;FIZ1;ASPSCR1;ZNF205,8,72.7273,0.258,exp04_lung_reads-coregtor-default,0.42857,0.35119,0.42857,4.35424,0.13604,2.01586,0.55954,1.2351,0.54699,,,,
89cddfbd7b77,C9orf72,ZNF516;CHD1;FIZ1;YOD1;ZNF576;CHD2;ZNF696;ZBTB45;ZNF213;ASH2L,10,76.9231,0.3128,exp04_lung_reads-coregtor-default,0.4037,0.37407,0.42963,3.30203,3.79344,2.42812,0.52023,1.21012,0.50755,,,,
10c44d6f5843,C9orf78,ZNF777;ZNF786;ZSCAN29;CCDC25;PRDM4;TSN;XPA;SNAPC5;THAP11;ZNF696;ASH2L;ZNF583;CSTF2;MLX;AGGF1;PAXIP1;VPS72;ZNF213;ZNF79,19,63.3333,0.2492,exp04_lung_reads-coregtor-default,0.43762,0.39084,0.45029,3.13542,2.20454,2.27984,0.50799,1.19168,0.496,,,,
1c5140dd52c8,CA2,FOXA2;CEBPA;HNF1B;ESRP1;HOXB2;ETV5;MEF2B;ZNF343,8,47.0588,0.2641,exp04_lung_reads-coregtor-default,0.42857,0.48214,0.44643,1.99383,7.76554,3.84408,0.61248,1.74455,0.54846,,,,
1f85742ebcd2,CA3,ETV6;ZBTB8B;HIF3A;RELB;KLF15;ELF4;NFKB2;ILF3;ATOH8,9,40.9091,0.3763,exp04_lung_reads-coregtor-default,0.45602,0.43056,0.44676,6.1377,13.52761,4.35551,0.62624,1.76691,0.56812,,,,
1bdc11dc5a31,CA4,EPAS1;HIF3A;PRRX1;TBX3;MSC;RUNX1;MAP4K2;GATA2;BATF3,9,64.2857,0.3305,exp04_lung_reads-coregtor-default,0.47222,0.5,0.46296,5.31465,18.76393,3.67571,0.53276,1.72869,0.47755,,,,
9bcdd4df61aa,CA5B,CLK1;TBX19;NFIB;PGR;ZNF506;ENO1;ZSCAN18;PRKAA2;MEIS1;NFIA;EBF4;MTF2;ZNF875;ZNF821;ZKSCAN1;SMAD5;ZBTB37;TRIB3;ZNF571,19,65.5172,0.213,exp04_lung_reads-coregtor-default,0.42641,0.38499,0.4386,3.003,1.76863,1.68632,0.5244,1.41581,0.49544,,,,
6336672023d8,CA5B,ZFP90;POU6F1,2,6.8966,0.124,exp04_lung_reads-coregtor-default,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.747,1.96078,0.74051,,,,
820b6e953d84,CAAP1,VPS4B;GTF2H3;TSN;TSNAX;AGGF1;RIOK2,6,75.0,0.6521,exp04_lung_reads-coregtor-default,0.5,0.48889,0.52222,2.23282,4.81643,4.98734,0.36705,0.93677,0.36068,,,,
9b9844484162,CAB39,ATF6;RAB18;ZFP91;ELF1;ZNF770;ZNF148;DR1;RAD21,8,80.0,0.4924,exp04_lung_reads-coregtor-default,0.50595,0.41071,0.5119,7.2844,1.238,8.31438,0.44549,1.16869,0.42519,,,,
9986258fb765,CAB39L,PRKAA2;SOX5;APEX2;PKM;ENO1;NME1;MXI1;GAR1;ZNF704;BACH2;ADARB1;P4HB;FOXO4;MECP2;PHF1;PARP1;NCALD;ZBTB10,18,81.8182,0.3215,exp04_lung_reads-coregtor-default,0.49891,0.47495,0.51743,9.14683,8.82454,11.69128,0.38075,1.13757,0.34235,,,,
b12c3b2bdc21,CABIN1,UBTF;TAF6;RFXANK;JRK;ZFP41;ZNF688;ZNF768;SMUG1;ZNF517;PATZ1;ZNF341;ZNF362;ZFP64;ATF6B,14,70.0,0.3221,exp04_lung_reads-coregtor-default,0.45604,0.35531,0.45971,5.21129,0.64576,3.23378,0.58251,1.42608,0.54935,,,,
ccbeb39ea8fb,CABIN1,ZNF205;ZNF414,2,10.0,0.1727,exp04_lung_reads-coregtor-default,0.5,0.33333,0.5,4.26232,0.0,5.10901,0.84884,1.92319,0.75737,,,,
77b3d8185d5c,CABLES1,HIF1A;ETV1;STAT3;NR3C2;ZNF69;TFDP2;CREBL2;TEF,8,80.0,0.3651,exp04_lung_reads-coregtor-default,0.47024,0.47024,0.46429,4.91026,5.14873,4.16208,0.59131,1.69392,0.53297,,,,
20925a0a5d49,CABLES2,ZNF335;KIF22;ZNF276;ZNF789;MXD3;HMG20B;ZNF530;ZNF93;TCF7;AGAP2,10,24.3902,0.1403,exp04_lung_reads-coregtor-default,0.36667,0.37222,0.39074,1.61762,1.02489,0.8926,0.56438,1.37463,0.54426,,,,
