cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
1cccdc7f71e2,TRMT11,RBM3;UBP1,2,11.7647,0.0709,exp04_lung_reads-coregtor-default
d69405e206b1,TRMT112,VPS72;POLE4;ECSIT;POU2F1;C19orf25;ZNF213;RPS10,7,70.0,0.2945,exp04_lung_reads-coregtor-default
618149b1ec46,TRMT112,CHD2;STUB1,2,20.0,0.2331,exp04_lung_reads-coregtor-default
8515985d8f5b,TRMT13,ZNF527;ZSCAN26;ZNF594;JRKL;ZNF879;ZNF816;ZNF234;ZNF320;ZKSCAN7;ZNF549;ZNF616;ZNF470;ZFP82;ZZZ3;EXOSC3;ZNF561;ZNF225;ZFP62;ZNF691;ZNF701,20,86.9565,0.3335,exp04_lung_reads-coregtor-default
0c39bfbc282d,TRMT1L,ZNF816;ZNF616;ZNF132;ZNF225;ZKSCAN3;ZNF780A;ZNF74;ZNF280D;ZBTB3;CREB3L4;ZNF701,11,45.8333,0.1553,exp04_lung_reads-coregtor-default
3e27a184e9c5,TRMT2A,ZBTB45;SMUG1;PTCD1;EXO5;FAAP24;ZNF696;ZNF282;ZNF213;ZNF786;FIZ1;MRPL2;SIRT6;ZNF576;RFXANK,14,87.5,0.2462,exp04_lung_reads-coregtor-default
339cfb853431,TRMT2B,NFYC;ZNF311;ASH2L;ZBTB14;HIRIP3;ZNF75A;ZNF641;TFCP2;SMUG1;ZXDC;ZNF33B;ZNF69;ZNF425;ETS2,14,73.6842,0.248,exp04_lung_reads-coregtor-default
2a5a1db37873,TRMT44,ZNF784;KAT7,2,6.6667,0.2862,exp04_lung_reads-coregtor-default
fe00fc05847e,TRMT44,PAXIP1;ZNF311;ZSCAN25;EXO5;ASH2L;ZNF75A;ZXDC;ZNF696;ZFP3;ZNF502;ZNF45;ZNF287;ZNF641;LHX4;ZNF212;ZNF786;KDM4A;ZBTB45;ZFP41,19,63.3333,0.1973,exp04_lung_reads-coregtor-default
23d73c67fa79,TRMT44,ZNF585B;ZNF180,2,6.6667,0.1395,exp04_lung_reads-coregtor-default
fd49ad0e84cd,TRMT5,MTERF1;ZNF2;TSN;ZNF485;TFCP2;ZNF786;RIOK2;ZNF502;TIGD2;GTF2H3;ZNF561;ZNF195;SMUG1;ZNF212;ZNF696;ZSCAN32;ZNF480,17,85.0,0.3148,exp04_lung_reads-coregtor-default
7837e35516b2,TRMT6,SNRPB2;GAR1;PSMC2;DUS3L;NCBP2;GTF2H3;MAGOH;MIOS;ABCF2;CHAMP1;ZNF239,11,91.6667,0.4117,exp04_lung_reads-coregtor-default
01de7054d91a,TRMT61A,NOC2L;DUS3L;E2F4,3,75.0,0.6336,exp04_lung_reads-coregtor-default
501e0f93d6b6,TRMT9B,ZNF248;ZNF709;ZKSCAN1;ZNF891;ZNF875;ZNF808;ZNF607;ZNF793;ZNF404;HP1BP3;ZNF615;ZNF506;ZNF814;ZNF135;ZNF273,15,83.3333,0.23,exp04_lung_reads-coregtor-default
2330e997d7d6,TRMT9B,PPP2R3B;ZFHX2,2,11.1111,0.0673,exp04_lung_reads-coregtor-default
fc88102b6a4a,TRMU,MBD1;ZNF785;E4F1;ZNF692;ZNF276;ZNF7;TRMT1;ZNF169;ZNF740;ZNF700;SNAPC4;PRDM15;ZNF133;ZNF354B;METTL3;ZNF606,16,94.1176,0.4143,exp04_lung_reads-coregtor-default
5be4ebd3848d,TRNAU1AP,ZNF212;ZNF691;MTERF1;ZFP82;ZNF594;TFCP2,6,24.0,0.21,exp04_lung_reads-coregtor-default
c8481c2beb1e,TRNP1,THAP11;NONO;ETV6;HIRIP3;PRDX5;ZNF329;SOD1;CPTP;IRX2;PRDM11;BACH1;SPR;ATOH8;RBPJ,14,33.3333,0.1993,exp04_lung_reads-coregtor-default
f0819cd81a4f,TRNP1,ZBTB16;RXRA,2,4.7619,0.194,exp04_lung_reads-coregtor-default
c51446525f6c,TRNP1,FIZ1;ZSCAN22,2,4.7619,0.1868,exp04_lung_reads-coregtor-default
7beb187d41b7,TRNP1,GADD45A;PRDM4,2,4.7619,0.1563,exp04_lung_reads-coregtor-default
1d4c426a6b77,TRNP1,ZBED2;ZNF653,2,4.7619,0.0549,exp04_lung_reads-coregtor-default
0f220ebe8e00,TRNT1,ZNF814;ZNF512;ZNF354B;ZNF207;ZNF841;ZBTB26;ZNF506;E2F5,8,88.8889,0.4644,exp04_lung_reads-coregtor-default
cbef48fee80c,TRO,SPATS2;TBX19;PURG;ZNF506;NFIB;HOXB3;TFCP2L1;RARG;ZNF227;ZKSCAN1;TET1;HOXB4;PRDM6;STAU2;ZNF135;ZNF286A;LEF1;ZNF630,18,90.0,0.3796,exp04_lung_reads-coregtor-default
603b68b5492c,TRPC1,HCFC2;HOXB3;GATAD1;POU6F1;CREBZF;ZNF519;ZNF704;ZNF383;ZNF345,9,45.0,0.2006,exp04_lung_reads-coregtor-default
76e7250bd070,TRPC1,ZNF251;ZNF793,2,10.0,0.1238,exp04_lung_reads-coregtor-default
77d5ea7c8c3f,TRPC1,ENO1;ZFP90,2,10.0,0.0989,exp04_lung_reads-coregtor-default
d53b891e25ce,TRPC4,KDM4A;GPAM;ABL1;PATZ1;IRX5;ZXDC;ARID5B;ASH2L;NFYC,9,64.2857,0.2447,exp04_lung_reads-coregtor-default
e34f341546aa,TRPC4AP,PHF8;USF1;MRPL1;THAP1;CDC5L;CHD2;RBBP5;TERF1;ZBTB5;NONO;ZNF516;ARID3B;PHF12;TFCP2;HSF2;UBTF;ASH2L;GTF2A2;PML;YOD1;FIZ1,21,80.7692,0.2557,exp04_lung_reads-coregtor-default
714ad98e71bd,TRPC6,PGR;HOXB5,2,100.0,0.0,exp04_lung_reads-coregtor-default
96034e1205c9,TRPM2,SRBD1;TIMELESS;LYL1;FAAP24;AKR1A1;SMUG1;ZNF641;MTERF1;MLX;FIZ1;TFCP2;ZNF646;TRIP10;ASH2L;UBTF;NFYC;SMAD3;ZNF483;NF1;APEX2;ZNF239;AFF4;LHX4;ZBTB10;ZNF502,25,83.3333,0.3502,exp04_lung_reads-coregtor-default
8e37b4a7dc2a,TRPM2,EXO5;RPP25,2,6.6667,0.076,exp04_lung_reads-coregtor-default
8beeae6c8ebf,TRPM4,NPDC1;TBX2;FOXS1;ZBTB46;CBFA2T2;HMG20B,6,60.0,0.3339,exp04_lung_reads-coregtor-default
96a6d972e2f1,TRPM7,MLLT10;ZZZ3;MGA;ZNF81;ZBTB1;SMAD2;PDS5A;ZBTB6;KDM4C;HLTF;BDP1;NNT;ZNF518A;ZNF131,14,87.5,0.484,exp04_lung_reads-coregtor-default
da9ac7039635,TRPT1,NMRAL1;ZNF688;ZSCAN21;RFXANK;GLI4;C19orf25;ZNF517,7,58.3333,0.263,exp04_lung_reads-coregtor-default
b76575091233,TRPT1,PTCD1;SMUG1,2,16.6667,0.1307,exp04_lung_reads-coregtor-default
9f2364be2fc9,TRPV1,ZNF546;ZNF177;BRF1;GLI4;ZNF528;ZNF846;ZNF84;ZNF577;ZNF345;ZNF382;ZNF793;ZBTB48,12,66.6667,0.2212,exp04_lung_reads-coregtor-default
958fb19015dc,TRPV2,PKNOX1;OTX1;AGAP2;ZNF32;ZNF136;EGR2;ZNF710;DRAP1;ZNF701;CREB3L4;ZNF507;SP140;NUCB1;ZNF510;MSRA;GPD1;SOD1;GRHL2;BAX;KLF15;FOXP2;SEMA4A;SPI1,23,74.1935,0.1968,exp04_lung_reads-coregtor-default
8e68c8680cbc,TRPV2,RFXAP;ZNF664,2,6.4516,0.1041,exp04_lung_reads-coregtor-default
bf5bf305ee16,TRRAP,HMBOX1;ZKSCAN1;ZBED6;NR2C2;CNOT3;IKZF2;CNOT4;MAX;TBX19;PHF8;CBFA2T2;ATF7;NF1;ELK4;KLF12;TRPS1;ZBTB20;PRDM10;KMT2A;TAF9;E2F5;CIC;ZNF445,23,71.875,0.1535,exp04_lung_reads-coregtor-default
182649f07980,TRUB2,TSN;GTF2H3;ZNF696;ASH2L;ZNF287;CSTF2;ZNF239;GPAM;FAAP24;EXO5;ZBTB45;ZNF777;PAXIP1;PTCD1;FIZ1;RFXANK;ZBTB10;APEX1;GTF2F1,19,95.0,0.4271,exp04_lung_reads-coregtor-default
9e1ef8d7a6e4,TSC1,ETS2;GTF3C5,2,5.0,0.1531,exp04_lung_reads-coregtor-default
5975db810ce6,TSC1,ZNF75D;ZSCAN30;ZBTB40;GIT2;ING4;DMAP1;POLI;ZBTB1;ZKSCAN3;CD59;ZSCAN26;ZNF765;ZNF585B;ZNF577;ZNF439;CXXC1;ZNF354C;ZNF180;ZNF517;ZNF623;ZKSCAN5;ZNF133;ZKSCAN4,23,57.5,0.1522,exp04_lung_reads-coregtor-default
4340d6f13be9,TSC1,ZNF701;NELFB,2,5.0,0.0852,exp04_lung_reads-coregtor-default
7d0466e68197,TSC1,ZNF30;ZNF585A,2,5.0,0.0756,exp04_lung_reads-coregtor-default
d101d40e6868,TSC2,GLI4;CXXC1;DMAP1;CD59;CTBP1;ZNF236;ZNF517;GTF3C5;ZNF577;ZSCAN30;ZNF592;USF2;R3HDM2;ATF6B,14,70.0,0.2525,exp04_lung_reads-coregtor-default
94b77b394357,TSC2,ZNF662;STAT6,2,10.0,0.1218,exp04_lung_reads-coregtor-default
7b7cccdb5fa7,TSC22D1,PKM;KLF9;AKR1A1;BAX;DNMT1;FOXO3;MAFF;NR4A1;IRF5,9,56.25,0.2884,exp04_lung_reads-coregtor-default
118f6a5956ce,TSC22D2,RNF114;ZNF622;ARID5A;PCK2;ZBTB10;OTUD4;ZDHHC24;MTHFD1;AFF4;CHD1;MTF2,11,68.75,0.3014,exp04_lung_reads-coregtor-default
bc88d1b31add,TSC22D2,HIVEP2;FAAP24,2,12.5,0.1914,exp04_lung_reads-coregtor-default
420502b38640,TSC22D3,ZBTB16;KLF15,2,100.0,0.0,exp04_lung_reads-coregtor-default
164f4f78b18a,TSEN15,TSN;SUCLG1;TIGD2;AGGF1;GPAM;GTF2H3;SNAPC5;TFCP2;MTERF1;SNRPB2;CSTF2;MRPL1;ASH2L;SMUG1;ZFP69;FAAP24;ZNF239;HLCS;SRBD1,19,86.3636,0.4419,exp04_lung_reads-coregtor-default
aa0b91766995,TSEN34,ASPSCR1;MESP1,2,3.3898,0.2398,exp04_lung_reads-coregtor-default
0c822e166455,TSEN34,NF1;ELK4;ACAA1;FUBP1;ZNF141;LYL1;DNTTIP1;ZNF771;ZNF746;OTUD4;AFF4;SOCS4;FOXK1;SCAND1;RFXANK;ASCC1;ZNF200,17,28.8136,0.2014,exp04_lung_reads-coregtor-default
af3f9432ef57,TSEN54,KLRG1;IRX6,2,8.3333,0.3871,exp04_lung_reads-coregtor-default
5d06f38893cb,TSEN54,ZNF506;ZNF586;ZNF875;ZNF692;MAX;ZNF571;CNOT3;MEF2B;TCF7;IRF9;ZNF248;MBD1;IRF3;ZBTB17;TFEB;ZNF511;PBX2,17,70.8333,0.2699,exp04_lung_reads-coregtor-default
9958c07b8069,TSFM,TSN;SNRPB2;ZNF239;GTF2H3;ZBTB10;RPP25;GAR1;FAAP24;RIOK2;GPAM;APEX1;SMUG1;PTCD1;KMT2A;ARID5A;RFXANK;CSTF2;FIZ1;ZNF622,19,73.0769,0.2661,exp04_lung_reads-coregtor-default
f932de83177a,TSFM,GTF2F1;ZNF287,2,7.6923,0.0855,exp04_lung_reads-coregtor-default
4d1f313b957c,TSG101,EXO5;NFYC,2,18.1818,0.2717,exp04_lung_reads-coregtor-default
cd0ead84d8a4,TSG101,VPS4B;ASH2L;TSN;PAXIP1;SNAPC5,5,45.4545,0.1802,exp04_lung_reads-coregtor-default
d3c16e47f35b,TSG101,CSTF2;ZBTB45,2,18.1818,0.1008,exp04_lung_reads-coregtor-default
4f6918ae6392,TSHZ1,BBX;TCF12;NR2F2;ATF7;ZNF227;PRDM6;HOXA4;PGR;ARNT;PURA;ZNF423;HOXB4;HOXB3;HOXB5,14,60.8696,0.1896,exp04_lung_reads-coregtor-default
376281ea0955,TSHZ1,MTA3;ZNF383;ZNF568;GATA5;ZFP14,5,21.7391,0.0916,exp04_lung_reads-coregtor-default
d823ef603325,TSHZ2,PROX1;PRRX1;HOXB4;ZNF385D;SRRM3;ZBTB42,6,85.7143,0.514,exp04_lung_reads-coregtor-default
df4e1f141be0,TSHZ3,ZBTB42;PGR;TFCP2L1;FOXA2;EHF,5,71.4286,0.471,exp04_lung_reads-coregtor-default
42199c47fde3,TSKU,ABL1;PRRX2,2,33.3333,0.1841,exp04_lung_reads-coregtor-default
6a1a105fbd51,TSNARE1,ZNF517;HIF1A;GABPB1;ZNF524;HIRIP3;NMRAL1;ZNF784;ZNF592;ZFP41;ATF6B,10,62.5,0.1402,exp04_lung_reads-coregtor-default
07fb0cbc63be,TSPAN1,TP73;FOXJ1;SOX2;FANK1,4,100.0,0.0,exp04_lung_reads-coregtor-default
72ec1d4522d0,TSPAN11,ZNF423;ZFHX2;RARG;HHAT;RXRG;ZNF135;ZFP14;ZNF709;ZNF607;TBX1;ZNF776;ZNF443;ZNF273;ZNF713;ZNF418,15,68.1818,0.2587,exp04_lung_reads-coregtor-default
