"Regulator","Target"
"RUNX3","TGFBR2"
"RUNX3","PTEN"
"RUNX3","CLU"
"RUNX3","BCL2L1"
"RUNX3","SPARC"
"RUNX3","PRKACA"
"RLF","HSP90AA1"
"RLF","NDRG1"
"RLF","GADD45B"
"RLF","CXCR4"
"RLF","DUSP1"
"RLF","CDKN1B"
"RLF","PER1"
"RLF","OGA"
"RLF","HMOX1"
"RLF","TNFSF10"
"BHLHE40","HSP90AA1"
"BHLHE40","CDKN1A"
"BHLHE40","NDRG1"
"BHLHE40","GADD45B"
"BHLHE40","TIMP1"
"BHLHE40","HLA-DRB1"
"BHLHE40","VEGFA"
"BHLHE40","CXCR4"
"BHLHE40","DUSP1"
"BHLHE40","GSTP1"
"BHLHE40","PER1"
"BHLHE40","HSPA1A"
"BHLHE40","OGA"
"BHLHE40","CSF1R"
"BHLHE40","HMOX1"
"BHLHE40","MAPK14"
"BHLHE40","CD14"
"BHLHE40","TKT"
"BHLHE40","SOD2"
"BHLHE40","ACTB"
"BHLHE40","TNFSF10"
"BHLHE40","TXN"
"BHLHE40","MCL1"
"BHLHE40","CLU"
"BHLHE40","CCND3"
"BHLHE40","BCL2L1"
"BHLHE40","SPARC"
"BHLHE40","PSEN1"
"DDIT3","HSP90AA1"
"DDIT3","NDRG1"
"DDIT3","GADD45B"
"DDIT3","CXCR4"
"DDIT3","DUSP1"
"DDIT3","PER1"
"DDIT3","OGA"
"DDIT3","HMOX1"
"DDIT3","TNFSF10"
"DDIT3","BCL2L1"
"MAFF","HSP90AA1"
"MAFF","CDKN1A"
"MAFF","NDRG1"
"MAFF","GADD45B"
"MAFF","TIMP1"
"MAFF","HLA-DRB1"
"MAFF","VEGFA"
"MAFF","CXCR4"
"MAFF","DUSP1"
"MAFF","GSTP1"
"MAFF","PER1"
"MAFF","HSPA1A"
"MAFF","OGA"
"MAFF","HMOX1"
"MAFF","SUMO1"
"MAFF","MAPK14"
"MAFF","TKT"
"MAFF","SOD2"
"MAFF","ACTB"
"MAFF","TNFSF10"
"MAFF","TXN"
"MAFF","TGFBR2"
"MAFF","CLU"
"MAFF","CCND3"
"MAFF","BCL2L1"
"MAFF","SPARC"
"MAFF","RBL2"
"MAFF","VIM"
"JUN","HSP90AA1"
"JUN","CDKN1A"
"JUN","NDRG1"
"JUN","GADD45B"
"JUN","TIMP1"
"JUN","HLA-DRB1"
"JUN","VEGFA"
"JUN","CXCR4"
"JUN","DUSP1"
"JUN","GSTP1"
"JUN","PER1"
"JUN","HSPA1A"
"JUN","OGA"
"JUN","CSF1R"
"JUN","HMOX1"
"JUN","NOTCH1"
"JUN","HLA-E"
"JUN","SUMO1"
"JUN","MAPK14"
"JUN","CD44"
"JUN","CD14"
"JUN","TKT"
"JUN","SOD2"
"JUN","ACTB"
"JUN","TNFSF10"
"JUN","SOCS3"
"JUN","NFKBIA"
"JUN","TXN"
"JUN","CLU"
"JUN","BCL2L1"
"JUN","PCNA"
"JUN","SPARC"
"JUN","PRKACA"
"JUN","RBL2"
"JUN","PSEN1"
"FOS","HSP90AA1"
"FOS","NDRG1"
"FOS","GADD45B"
"FOS","TIMP1"
"FOS","CXCR4"
"FOS","DUSP1"
"FOS","CDKN1B"
"FOS","PER1"
"FOS","OGA"
"FOS","CSF1R"
"FOS","HMOX1"
"FOS","TNFSF10"
"FOS","TXN"
"FOS","CLU"
"FOS","BCL2L1"
"MLX","NOTCH1"
"MLX","SUMO1"
"MLX","PDLIM7"
"MLX","TKT"
"MLX","RHOA"
"MLX","CCND3"
"MLX","VIM"
"PBX2","NOTCH1"
"PBX2","HLA-E"
"PBX2","SUMO1"
"PBX2","PDLIM7"
"PBX2","TKT"
"PBX2","AKT1"
"PBX2","RHOA"
"PBX2","CCND3"
"PBX2","TGFB1"
"PBX2","SQSTM1"
"PBX2","PRKACA"
"PBX2","VIM"
"NFYC","NOTCH1"
"NFYC","HLA-E"
"NFYC","SUMO1"
"NFYC","PDLIM7"
"NFYC","TKT"
"NFYC","TGFB1"
"NFYC","PRKACA"
"NFYC","VIM"
"KMT2B","NOTCH1"
"KMT2B","PDLIM7"
"KMT2B","AKT1"
"KMT2B","RHOA"
"KMT2B","TGFB1"
"KMT2B","SQSTM1"
"STAT3","NOTCH1"
"STAT3","SOCS3"
"STAT3","RHOA"
"STAT6","NOTCH1"
"STAT6","HLA-E"
"STAT6","PDLIM7"
"STAT6","TKT"
"STAT6","TGFB1"
"STAT6","PRKACA"
