"Regulator","Target"
"MEF2C","STMN1"
"MEF2C","HSP90AA1"
"MEF2C","PER1"
"MEF2C","CARM1"
"MEF2C","MAT2A"
"MEF2C","FASN"
"MEF2C","VIM"
"MEF2C","APOE"
"MEF2C","SPARC"
"MEF2C","TIMP1"
"MEF2C","ID3"
"NR4A1","PRKACA"
"NR4A1","SOD2"
"NR4A1","PIK3R1"
"NR4A1","PKD1"
"NR4A1","ACTB"
"NR4A1","HSPA1A"
"NR4A1","MCL1"
"NR4A1","APP"
"NR4A1","DUSP1"
"NR4A1","HSPA4"
"NR4A1","BMI1"
"NR4A1","TAGLN"
"NR4A1","STMN1"
"NR4A1","VEGFA"
"NR4A1","NFKBIA"
"NR4A1","ID3"
"NR4A1","HSP90AA1"
"NR4A1","PER1"
"NR4A1","CARM1"
"NR4A1","MAT2A"
"NR4A1","FASN"
"NR4A1","HBB"
"NR4A1","HBA2"
"FOS","PRKACA"
"FOS","VIM"
"FOS","SOD2"
"FOS","GADD45B"
"FOS","PIK3R1"
"FOS","PKD1"
"FOS","APOE"
"FOS","PDK4"
"FOS","ACTB"
"FOS","CDKN1A"
"FOS","SPARC"
"FOS","TIMP1"
"FOS","HSPA1A"
"FOS","MCL1"
"FOS","APP"
"FOS","DUSP1"
"FOS","HSPA4"
"FOS","BMI1"
"FOS","TAGLN"
"FOS","STMN1"
"FOS","HLA-E"
"FOS","VEGFA"
"FOS","NFKBIA"
"FOS","CRYAB"
"FOS","ID3"
"FOS","HSP90AA1"
"FOS","PER1"
"FOS","HLA-DRB1"
"FOS","CARM1"
"FOS","MAT2A"
"FOS","FASN"
"EGR1","PRKACA"
"EGR1","SOD2"
"EGR1","PIK3R1"
"EGR1","PKD1"
"EGR1","ACTB"
"EGR1","HSPA1A"
"EGR1","MCL1"
"EGR1","APP"
"EGR1","DUSP1"
"EGR1","HSPA4"
"EGR1","BMI1"
"EGR1","STMN1"
"EGR1","VEGFA"
"EGR1","NFKBIA"
"EGR1","HSP90AA1"
"EGR1","PER1"
"EGR1","CARM1"
"EGR1","MAT2A"
"EGR1","FASN"
"EGR1","VIM"
"EGR1","HBB"
"EGR1","PDK4"
"EGR1","TIMP1"
"EGR1","HBA2"
"EGR1","ID3"
"PEG3","PRKACA"
"PEG3","SOD2"
"PEG3","PIK3R1"
"PEG3","PKD1"
"PEG3","ACTB"
"PEG3","MCL1"
"PEG3","APP"
"PEG3","DUSP1"
"PEG3","HSPA4"
"PEG3","BMI1"
"PEG3","STMN1"
"PEG3","VEGFA"
"PEG3","HSP90AA1"
"PEG3","PER1"
"PEG3","CARM1"
"PEG3","MAT2A"
"PEG3","FASN"
"PEG3","VIM"
"PEG3","HBB"
"PEG3","APOE"
"PEG3","PDK4"
"PEG3","TIMP1"
"PEG3","HBA2"
"EMX2","VIM"
"EMX2","APOE"
"ID4","VIM"
"ID4","APOE"
"KLF15","VIM"
"KLF15","APOE"
"KLF15","MCL1"
"KLF15","NFKBIA"
"SOX2","VIM"
"SOX2","APOE"
"SOX2","NFKBIA"
"SOX9","VIM"
"SOX9","APOE"
"SOX9","PDK4"
"SOX9","TIMP1"
"SOX9","MCL1"
"SOX9","HLA-E"
"SOX9","NFKBIA"
"BCL6","VIM"
"BCL6","SOD2"
"BCL6","ACTB"
"BCL6","TIMP1"
"BCL6","MCL1"
"BCL6","HLA-E"
"BCL6","VEGFA"
"BCL6","NFKBIA"
"BCL6","HSP90AA1"
"BCL6","PER1"
"BCL6","CARM1"
"BCL6","MAT2A"
"CEBPD","VIM"
"CEBPD","SOD2"
"CEBPD","GADD45B"
"CEBPD","APOE"
"CEBPD","PDK4"
"CEBPD","ACTB"
"CEBPD","CDKN1A"
"CEBPD","TIMP1"
"CEBPD","HSPA1A"
"CEBPD","MCL1"
"CEBPD","NDRG1"
"CEBPD","TAGLN"
"CEBPD","HLA-E"
"CEBPD","VEGFA"
"CEBPD","NFKBIA"
"CEBPD","CRYAB"
"CEBPD","ID3"
"CEBPD","HSP90AA1"
"CEBPD","PER1"
"CEBPD","HLA-DRB1"
"CEBPD","MAT2A"
"LMO2","SOD2"
"LMO2","ACTB"
"LMO2","SPARC"
"LMO2","MCL1"
"LMO2","HLA-E"
"LMO2","NFKBIA"
